codigo,nbi_12,nbi_24,poblacion
031001,36.289269,20.346869,219092
030903,34.932122,14.194908,61840
030905,17.063453,6.990407,66505
030404,86.16145,73.556294,4987
030802,61.857736,39.717403,7382
021307,71.347975,39.078724,5526
030601,95.382535,84.513721,10632
030403,58.495476,55.483466,29375
030101,28.543786,16.979174,665505
031202,89.417301,68.972802,11865
031405,77.2,44.256575,3822
031404,66.510539,29.561753,1287
030703,83.831522,51.526915,3980
090101,30.894441,14.408569,55114
021902,87.377279,71.502294,5351
020301,80.511619,67.616723,13551
021306,76.826894,42.870355,12490
021901,85.857238,68.744271,6805
020605,82.824427,62.891933,3529
021401,64.595873,48.099455,27711
031205,69.008126,44.130971,64595
031206,69.445599,41.343125,45780
030302,92.474824,85.016264,14720
030901,28.26134,14.611519,166741
030501,49.207376,30.510505,11183
060202,29.61254,16.983296,36970
020304,91.417323,72.716605,5238
021204,81.206062,67.491683,7900
022002,81.562124,64.751295,10585
022001,75.095131,55.849648,59676
060301,34.428005,21.539237,97634
060302,43.238312,28.015847,15559
090202,97.68534,94.627157,3518
020801,53.44507,27.503637,113554
020205,29.572694,20.307628,5118
090103,75.836614,49.075704,2437
090203,79.563783,45.656617,8045
021202,85.898599,57.830972,38652
021303,85.882505,69.082527,11258
090102,44.136936,23.747981,9353
090104,66.571916,39.562443,3630
090401,73.299398,51.490909,2889
090201,70.732594,48.10089,7367
010201,87.749537,71.696345,7903
031402,67.340319,37.07811,8599
021305,67.30891,45.67704,25148
021302,85.842825,60.543735,9102
020105,36.033151,16.868864,885825
020804,60.475483,35.304098,7897
020806,86.682481,60.83399,17016
020802,69.827338,44.589999,8592
031401,33.944307,21.985836,35248
031403,44.0127,20.895871,13054
020604,82.332564,77.794337,4224
060101,22.704036,13.340539,238749
051003,81.628876,60.762943,1936
051002,85.616438,60.487288,1025
051103,93.587678,86.637363,14338
050302,76.723507,59.289524,9285
050602,81.126978,57.012228,10184
050802,19.339799,11.457998,9610
080303,70.991459,45.85389,11122
080402,89.315023,73.305928,8012
080401,52.453951,45.059811,18088
080901,95.286624,77.902134,3973
020503,89.644254,69.090026,6721
020206,66.056953,41.101569,7226
020202,88.491088,71.093508,16953
020403,86.626438,68.933948,17336
020603,80.20246,62.146893,9761
020606,57.262483,35.143899,7716
020101,14.319205,7.236554,757431
020601,80.300544,61.210497,30083
020501,85.87511,70.190723,17830
020602,67.443002,38.07152,16386
020608,78.285329,56.739113,13379
020607,69.833729,36.067842,21843
020404,95.030349,86.083608,5658
021702,74.129185,49.02924,9164
050303,93.153294,90.463215,14366
050901,57.102454,19.655012,12740
051001,82.043344,52.332155,3150
021602,88.50185,74.638946,6611
021104,75.054834,54.915021,27137
080304,56.788353,44.328762,21240
021502,61.571307,32.981864,10105
080302,73.427971,61.034483,45798
020402,90.929175,76.993015,17811
020204,69.471182,45.085398,9287
020203,72.792059,46.661855,8679
021601,91.463225,73.693587,15763
011002,82.755776,45.447284,2547
020702,83.469111,56.100258,9060
020701,77.694317,66.769455,19156
010103,96.168843,88.197902,13649
020805,90.763052,74.736008,7936
030502,82.468571,63.857251,8409
031203,86.425687,64.512195,12258
021301,81.833161,58.969454,33885
010302,86.008547,69.446286,12539
010101,26.957947,16.17625,296746
010102,54.406515,33.488636,9256
010602,76.669052,56.570573,8480
010601,81.632529,61.453397,13323
030701,56.294312,37.92337,19427
080101,38.341593,28.884248,128589
031002,73.065484,50.898697,21846
031303,96.906305,86.122818,3512
021501,77.315322,60.059724,12595
020502,89.826363,76.035468,9029
020306,91.720387,55.891608,6442
010704,88.06587,67.487047,14282
020803,82.390564,58.188417,13648
020401,85.885832,76.100443,14012
020405,83.523608,68.514151,8837
020305,84.869739,69.177378,4221
020201,70.52464,45.488372,47257
020807,85.322507,59.184236,7540
030202,69.038831,53.031019,6475
030203,69.701331,44.72887,6700
040301,91.230648,79.773243,16101
040101,24.908031,12.318517,298350
040902,84.490741,39.503386,1406
040903,81.465746,67.082405,2355
050902,66.456362,24.67709,1621
050102,95.458962,90.653831,28942
050601,69.65718,53.489551,29221
050402,91.772213,83.701516,16909
050404,92.740542,86.987259,14532
050401,79.655987,67.759901,16363
040302,90.143965,77.193709,2504
040402,80.451278,72.994309,5803
060303,43.413982,27.177419,46071
011003,68.79964,47.653773,7235
030602,92.620605,82.637994,10750
031501,93.416044,85.875115,8282
040104,84.451268,59.817979,15764
050204,81.531417,67.792274,8220
050701,88.910313,77.992737,17205
050702,88.840901,83.472393,8458
050202,76.078009,57.360337,16021
080501,73.226865,54.445361,21584
080102,82.586969,64.996633,7913
080702,60.702943,38.033432,5489
080701,63.59156,36.131082,6808
030303,96.724039,88.160539,19608
021001,93.0674,79.827615,18679
030301,86.40383,74.162679,21815
021004,74.12875,63.482287,23505
021703,84.186868,70.357587,7525
021701,66.332568,50.691272,17463
020902,89.248273,70.253284,16497
031101,94.867653,86.476655,24666
050405,93.62507,85.721749,21011
021006,70.227189,48.462437,7877
020102,87.323257,65.311096,21729
021002,57.484277,41.226732,10887
021201,82.704477,56.098588,49850
090303,97.099465,72.34086,10522
090302,86.668558,66.62766,9832
090402,86.695545,76.067012,2600
021203,76.384384,50.327555,20607
090301,83.333333,74.34392,12431
040901,86.415094,53.036718,15504
041202,89.922879,54.757815,3061
040502,90.496657,46.934772,4231
010501,56.414474,35.998471,24546
040505,78.273921,41.847538,3882
041201,88.413547,70.037637,6311
040802,85.192837,58.418694,3197
040202,73.553507,57.534247,5161
020303,94.442736,81.021021,12219
040401,72.880915,72.925412,6683
020308,97.301433,89.824608,8037
021803,96.780684,86.851385,2052
040504,92.382813,27.69409,875
040501,22.274882,22.228217,4011
070904,59.576683,33.718626,3086
070803,61.925602,43.005952,2793
070901,50.114008,27.368327,11843
071302,61.562368,34.678243,6048
030803,42.399843,30.981964,8687
030801,35.327345,15.643447,21155
020903,89.942968,72.777075,12296
021005,91.645145,81.476684,9552
040503,89.338801,43.523677,1517
020307,82.804674,73.719434,4022
020302,91.195488,75.16485,15570
021003,68.307511,45.049636,15565
090502,86.61163,74.089754,2511
090503,94.701987,78.732597,2347
090501,87.916431,62.66756,1598
060201,59.023685,43.341947,17817
060401,56.122307,35.987465,15923
010701,62.475601,44.18588,14713
011001,67.30707,49.553062,13282
010303,76.531394,54.06313,9055
010801,67.136063,47.219095,9107
010402,74.978682,55.914107,8509
010301,70.279206,59.562264,13694
010304,72.293333,61.209239,9155
010405,77.291862,62.024638,5654
010401,70.997703,49.501736,9192
010404,65.194751,41.847081,3768
050201,60.285714,51.010886,22768
051501,44.599814,21.554528,49340
051202,76.997101,59.438232,7845
051204,75.214875,54.314079,5819
051601,71.569839,31.656504,2126
050301,75.994559,60.64212,31904
050101,25.252726,16.753062,218702
050203,37.549546,27.385831,41686
040701,24.041421,13.522407,20118
050103,65.085367,50.067946,12253
051401,66.009221,33.22385,4187
051402,69.034608,38.284943,1546
040801,81.707211,55.444459,15934
070804,60.595447,36.051252,1806
070302,74.404868,56.131515,15239
070303,71.484865,63.311338,8842
071201,65.605326,43.729027,15378
070301,67.543115,53.801345,67103
070704,58.47511,33.113538,5335
070805,66.470876,41.948511,2015
070705,86.999915,69.41237,14389
070801,43.238198,24.304233,17249
040603,50.141822,34.120357,3666
041501,83.596838,63.293173,1262
070701,73.706045,41.028427,5946
070706,29.47317,20.145914,32285
070702,70.444612,58.536101,38420
070707,61.012088,35.935936,5612
071401,35.635965,17.749167,17417
071402,34.838834,16.766318,17974
070903,49.422169,33.504989,12735
070902,60.09727,32.433003,9692
071105,67.46273,38.665175,8541
071102,72.484029,47.575124,14888
071503,84.643298,60.149145,17290
070403,66.507982,37.955099,57794
071301,61.119632,39.866037,17195
070703,71.022567,42.811324,32961
071003,52.337273,23.775415,23110
041502,89.02439,36.338028,1140
041503,97.613365,62.889518,1129
070503,38.840143,24.747445,18763
070501,47.23109,53.547005,40974
070401,58.303177,28.123767,13651
070402,60.735287,28.994986,18942
070601,31.263692,12.991316,20743
071101,76.21542,60.532182,30118
070602,74.482649,41.640652,17999
070802,45.137881,16.008677,2359
071001,30.726568,16.104144,126886
070202,54.86491,23.75232,10665
071106,51.308235,29.34215,25258
070404,52.83483,28.025413,10200
021101,58.955611,37.073005,18303
010502,75.671924,53.863568,7200
060601,60.790289,43.090159,20864
010902,84.049859,65.687896,14848
070603,39.030527,26.757913,6007
071403,68.93864,42.113132,8816
071502,84.845346,48.140328,6555
071501,75.022174,52.588456,34079
071005,55.125228,24.23341,15246
071104,82.815413,50.392157,6364
071002,62.224158,34.933847,16598
070201,43.312949,21.142904,151248
071103,71.526295,34.542857,44909
071004,57.050907,28.324255,14610
060501,50.236391,30.63172,30346
060502,59.976072,40.967466,9523
010901,75.63253,49.05733,5375
010903,71.813977,52.240016,5016
050801,39.40889,22.113773,45590
060402,68.907233,52.297356,4754
030401,52.965553,41.522755,11273
051301,90.088322,79.633401,3666
030402,84.638298,73.565395,7335
051302,82.727725,72.687965,4471
050502,88.71673,76.364532,10714
031302,91.775701,82.556302,5244
031301,79.591942,51.898268,19896
031304,98.315667,91.217357,8056
030201,69.089397,50.998512,23123
050501,93.306591,87.761765,28416
050403,90.764528,82.194515,32641
020904,80.405949,70.525694,5297
020901,76.84134,54.013739,10703
021102,71.846413,54.766678,23279
020905,76.405901,61.257852,13598
020104,71.41949,43.24084,46188
020103,62.66624,42.146649,20446
021304,81.081525,53.965977,15327
041101,66.731707,49.718501,5335
070102,42.418939,23.273132,106603
070502,48.82728,40.065326,54495
070105,51.292553,25.274847,55697
070103,52.626363,17.324807,23126
070101,21.127641,10.403888,1610982
070104,35.214023,16.864337,147726
040103,97.931435,93.00662,9997
031204,66.952558,44.730148,27521
031003,78.62401,56.137341,93747
080802,67.824968,53.520312,7488
080803,77.513161,46.232643,4630
080201,58.709069,47.247623,110302
021802,94.00289,75.335204,6649
051201,50.275152,29.735025,35318
050104,94.985251,86.795544,3121
080202,38.213487,27.049608,42031
080601,81.513514,62.472885,4269
080602,82.397611,62.640231,15570
080801,64.09905,43.474583,12785
080703,81.588448,44.423077,1091
080301,67.532772,58.195599,11478
041401,72.123928,55.590299,13502
021105,87.134726,62.885052,45587
021402,54.879952,34.40971,23530
021103,51.580996,34.016224,7615
040702,45.192923,26.971162,6120
040601,52.861953,33.11879,9189
040102,74.471645,51.449275,22850
041001,92.187818,81.403479,12202
010702,84.891335,65.450103,26715
010703,87.969095,73.08086,16484
031602,66.835101,41.091765,27172
041301,92.926284,78.514803,6637
021801,93.199541,77.89042,9217
041601,90.965208,68.095487,5996
031601,80.775328,58.273906,18475
031201,87.07673,73.343505,14821
040201,73.697154,60.031159,35427
040602,59.712968,43.167082,4251
010403,79.133747,64.832394,6942
010202,86.932875,69.721091,16812
030904,42.893829,20.930999,56064
030702,56.935818,32.432074,7940
030902,51.721411,29.636924,55908
051203,40.968167,27.946366,14654
051101,73.140301,55.055595,16389
051102,67.023872,40.782994,12999
